,0
SK_ID_CURR,0.0
TARGET,0.0
NAME_CONTRACT_TYPE,0.0
CODE_GENDER,0.0
FLAG_OWN_CAR,0.0
FLAG_OWN_REALTY,0.0
CNT_CHILDREN,0.0
AMT_INCOME_TOTAL,0.0
AMT_CREDIT,0.0
AMT_ANNUITY,0.003902299429939092
AMT_GOODS_PRICE,0.09040327012692229
NAME_TYPE_SUITE,0.42014757195677555
NAME_INCOME_TYPE,0.0
NAME_EDUCATION_TYPE,0.0
NAME_FAMILY_STATUS,0.0
NAME_HOUSING_TYPE,0.0
REGION_POPULATION_RELATIVE,0.0
DAYS_BIRTH,0.0
DAYS_EMPLOYED,0.0
DAYS_REGISTRATION,0.0
DAYS_ID_PUBLISH,0.0
OWN_CAR_AGE,65.9908100848425
FLAG_MOBIL,0.0
FLAG_EMP_PHONE,0.0
FLAG_WORK_PHONE,0.0
FLAG_CONT_MOBILE,0.0
FLAG_PHONE,0.0
FLAG_EMAIL,0.0
OCCUPATION_TYPE,31.345545362604916
CNT_FAM_MEMBERS,0.0006503832383231819
REGION_RATING_CLIENT,0.0
REGION_RATING_CLIENT_W_CITY,0.0
WEEKDAY_APPR_PROCESS_START,0.0
HOUR_APPR_PROCESS_START,0.0
REG_REGION_NOT_LIVE_REGION,0.0
REG_REGION_NOT_WORK_REGION,0.0
LIVE_REGION_NOT_WORK_REGION,0.0
REG_CITY_NOT_LIVE_CITY,0.0
REG_CITY_NOT_WORK_CITY,0.0
LIVE_CITY_NOT_WORK_CITY,0.0
ORGANIZATION_TYPE,0.0
EXT_SOURCE_1,56.381072546998325
EXT_SOURCE_2,0.21462646864665005
EXT_SOURCE_3,19.825307062186393
APARTMENTS_AVG,50.74972927797705
BASEMENTAREA_AVG,58.51595552679416
YEARS_BEGINEXPLUATATION_AVG,48.781019215572776
YEARS_BUILD_AVG,66.49778381911543
COMMONAREA_AVG,69.87229725115525
ELEVATORS_AVG,53.29597965601231
ENTRANCES_AVG,50.3487680115508
FLOORSMAX_AVG,49.76082156410665
FLOORSMIN_AVG,67.84862980511267
LANDAREA_AVG,59.376737742714894
LIVINGAPARTMENTS_AVG,68.35495315614726
LIVINGAREA_AVG,50.193326417591564
NONLIVINGAPARTMENTS_AVG,69.43296337366793
NONLIVINGAREA_AVG,55.17916432257708
APARTMENTS_MODE,50.74972927797705
BASEMENTAREA_MODE,58.51595552679416
YEARS_BEGINEXPLUATATION_MODE,48.781019215572776
YEARS_BUILD_MODE,66.49778381911543
COMMONAREA_MODE,69.87229725115525
ELEVATORS_MODE,53.29597965601231
ENTRANCES_MODE,50.3487680115508
FLOORSMAX_MODE,49.76082156410665
FLOORSMIN_MODE,67.84862980511267
LANDAREA_MODE,59.376737742714894
LIVINGAPARTMENTS_MODE,68.35495315614726
LIVINGAREA_MODE,50.193326417591564
NONLIVINGAPARTMENTS_MODE,69.43296337366793
NONLIVINGAREA_MODE,55.17916432257708
APARTMENTS_MEDI,50.74972927797705
BASEMENTAREA_MEDI,58.51595552679416
YEARS_BEGINEXPLUATATION_MEDI,48.781019215572776
YEARS_BUILD_MEDI,66.49778381911543
COMMONAREA_MEDI,69.87229725115525
ELEVATORS_MEDI,53.29597965601231
ENTRANCES_MEDI,50.3487680115508
FLOORSMAX_MEDI,49.76082156410665
FLOORSMIN_MEDI,67.84862980511267
LANDAREA_MEDI,59.376737742714894
LIVINGAPARTMENTS_MEDI,68.35495315614726
LIVINGAREA_MEDI,50.193326417591564
NONLIVINGAPARTMENTS_MEDI,69.43296337366793
NONLIVINGAREA_MEDI,55.17916432257708
FONDKAPREMONT_MODE,68.38617155158677
HOUSETYPE_MODE,50.176091261776
TOTALAREA_MODE,48.26851722377411
WALLSMATERIAL_MODE,50.8407829313423
EMERGENCYSTATE_MODE,47.39830445089769
OBS_30_CNT_SOCIAL_CIRCLE,0.3320206431639844
DEF_30_CNT_SOCIAL_CIRCLE,0.3320206431639844
OBS_60_CNT_SOCIAL_CIRCLE,0.3320206431639844
DEF_60_CNT_SOCIAL_CIRCLE,0.3320206431639844
DAYS_LAST_PHONE_CHANGE,0.00032519161916159093
FLAG_DOCUMENT_2,0.0
FLAG_DOCUMENT_3,0.0
FLAG_DOCUMENT_4,0.0
FLAG_DOCUMENT_5,0.0
FLAG_DOCUMENT_6,0.0
FLAG_DOCUMENT_7,0.0
FLAG_DOCUMENT_8,0.0
FLAG_DOCUMENT_9,0.0
FLAG_DOCUMENT_10,0.0
FLAG_DOCUMENT_11,0.0
FLAG_DOCUMENT_12,0.0
FLAG_DOCUMENT_13,0.0
FLAG_DOCUMENT_14,0.0
FLAG_DOCUMENT_15,0.0
FLAG_DOCUMENT_16,0.0
FLAG_DOCUMENT_17,0.0
FLAG_DOCUMENT_18,0.0
FLAG_DOCUMENT_19,0.0
FLAG_DOCUMENT_20,0.0
FLAG_DOCUMENT_21,0.0
AMT_REQ_CREDIT_BUREAU_HOUR,13.501630835970097
AMT_REQ_CREDIT_BUREAU_DAY,13.501630835970097
AMT_REQ_CREDIT_BUREAU_WEEK,13.501630835970097
AMT_REQ_CREDIT_BUREAU_MON,13.501630835970097
AMT_REQ_CREDIT_BUREAU_QRT,13.501630835970097
AMT_REQ_CREDIT_BUREAU_YEAR,13.501630835970097
